相对路径,文件名,格式,文件大小KB,像素宽度,像素高度,分辨率,纬度参考,纬度,经度参考,经度,海拔,拍摄日期,拍摄时间,拍摄时间戳,相机型号,光圈值,曝光时间,ISO,曝光补偿,焦距,测光模式,省份,城市,区县,是否是航拍,是否后期
/pojName-1/IMG_1357.jpeg,IMG_1357.jpeg,jpeg,103.0,1080,720,240,N,43.023392,E,111.647643,1117.3,2025:08:19,02:52:09,1755543129000,Canon EOS 6D Mark II,2.8,20,12800,,16,5,内蒙古自治区,乌兰察布市,四子王旗,,
/pojName-1/IMG_1421.jpeg,IMG_1421.jpeg,jpeg,98.5,1080,720,240,N,43.023360,E,111.647688,1123.7,2025:08:19,03:24:09,1755545049000,Canon EOS 6D Mark II,2.8,20,12800,,16,5,内蒙古自治区,乌兰察布市,四子王旗,,
/pojName-1/IMG_1536.jpeg,IMG_1536.jpeg,jpeg,92.5,1080,720,240,N,43.023283,E,111.647833,1130,2025:08:19,04:21:39,1755548499000,Canon EOS 6D Mark II,2.8,20,12800,,16,5,内蒙古自治区,乌兰察布市,四子王旗,,
