相对路径,文件名,格式,文件大小KB,像素宽度,像素高度,分辨率,纬度参考,纬度,经度参考,经度,海拔,拍摄日期,拍摄时间,拍摄时间戳,相机型号,光圈值,曝光时间,ISO,曝光补偿,焦距,测光模式,省份,城市,区县,是否是航拍,是否后期
/111/IMG_1749.jpeg,IMG_1749.jpeg,jpeg,79.6,1080,720,72,N,43.275775,E,114.857197,1042.6,2025:08:20,20:37:44,1755693464000,Canon EOS 6D Mark II,2.8,13,6400,,16,5,内蒙古自治区,锡林郭勒盟,苏尼特左旗,,
/111/IMG_1750.jpeg,IMG_1750.jpeg,jpeg,78.4,1080,720,72,N,43.275988,E,114.856972,1044,2025:08:20,20:38:53,1755693533000,Canon EOS 6D Mark II,2.8,13,6400,,16,5,内蒙古自治区,锡林郭勒盟,苏尼特左旗,,
/111/IMG_1751.jpeg,IMG_1751.jpeg,jpeg,78.9,1080,720,72,N,43.275988,E,114.856972,1044,2025:08:20,20:39:13,1755693553000,Canon EOS 6D Mark II,2.8,13,6400,,16,5,内蒙古自治区,锡林郭勒盟,苏尼特左旗,,
/111/IMG_1752.jpeg,IMG_1752.jpeg,jpeg,78.2,1080,720,72,N,43.275988,E,114.856972,1044,2025:08:20,20:39:33,1755693573000,Canon EOS 6D Mark II,2.8,13,6400,,16,5,内蒙古自治区,锡林郭勒盟,苏尼特左旗,,
/111/IMG_1753.jpeg,IMG_1753.jpeg,jpeg,78.1,1080,720,72,N,43.275988,E,114.856972,1044,2025:08:20,20:39:53,1755693593000,Canon EOS 6D Mark II,2.8,13,6400,,16,5,内蒙古自治区,锡林郭勒盟,苏尼特左旗,,
/111/IMG_1754.jpeg,IMG_1754.jpeg,jpeg,77.9,1080,720,72,N,43.275988,E,114.856972,1044,2025:08:20,20:40:13,1755693613000,Canon EOS 6D Mark II,2.8,13,6400,,16,5,内蒙古自治区,锡林郭勒盟,苏尼特左旗,,
/111/IMG_1755.jpeg,IMG_1755.jpeg,jpeg,77.1,1080,720,72,N,43.275988,E,114.856972,1044,2025:08:20,20:40:33,1755693633000,Canon EOS 6D Mark II,2.8,13,6400,,16,5,内蒙古自治区,锡林郭勒盟,苏尼特左旗,,
/111/IMG_1756.jpeg,IMG_1756.jpeg,jpeg,76.2,1080,720,72,N,43.275988,E,114.856972,1044,2025:08:20,20:40:53,1755693653000,Canon EOS 6D Mark II,2.8,13,6400,,16,5,内蒙古自治区,锡林郭勒盟,苏尼特左旗,,
